"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.GEPD.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",52,"Needs Improvement",2019,"cty","JOR"
"SE.GEPD.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",52,"Needs Improvement",2019,"cty","JOR"
"SE.GEPD.PRIM.BMP","Proficiency by End of Primary",50,"Needs Improvement",2019,"cty","JOR"
"SE.GEPD.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS",50,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ATTD","Student Attendance",97.1,"On Target",2019,"cty","JOR"
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit",97.1,"On Target",2019,"cty","JOR"
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female",81.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male",78.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural",98.6,"On Target",2019,"cty","JOR"
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban",96.7,"On Target",2019,"cty","JOR"
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing",4.7,"On Target",2019,"cty","JOR"
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.",4.7,"On Target",2019,"cty","JOR"
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending",5,"On Target",2019,"cty","JOR"
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest",4.7,"On Target",2019,"cty","JOR"
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest",4,"On Target",2019,"cty","JOR"
"SE.PRM.BFIN.5","(Financing) - Equity",NA,"N/A",2019,"cty","JOR"
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making",3.1,"Caution",2019,"cty","JOR"
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.1,"Caution",2019,"cty","JOR"
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management",3.1,"Caution",2019,"cty","JOR"
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making",3.8,"Caution",2019,"cty","JOR"
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation",2.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators",3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability",4.2,"On Target",2019,"cty","JOR"
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.2,"On Target",2019,"cty","JOR"
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence",4,"Caution",2019,"cty","JOR"
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency",4.2,"On Target",2019,"cty","JOR"
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials",4.4,"On Target",2019,"cty","JOR"
"SE.PRM.BNLG","Politics & Bureaucratic Capacity - National Learning Goals",3.6,"Caution",2019,"cty","JOR"
"SE.PRM.BNLG.1","Average score for National Learning Goals; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.6,"Caution",2019,"cty","JOR"
"SE.PRM.BNLG.2","(National Learning Goals) Average score for targeting",4,"On Target",2019,"cty","JOR"
"SE.PRM.BNLG.3","(National Learning Goals) Average score for monitoring",3.9,"Caution",2019,"cty","JOR"
"SE.PRM.BNLG.4","(National Learning Goals) Average score for incentives",2.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.BNLG.5","(National Learning Goals) Average score for community engagement",3.5,"Caution",2019,"cty","JOR"
"SE.PRM.BQBR","Politics & Bureaucratic Capacity - Characteristics of Bureaucracy",3.6,"Caution",2019,"cty","JOR"
"SE.PRM.BQBR.1","Average score for Characteristics of Bureaucracy; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.6,"Caution",2019,"cty","JOR"
"SE.PRM.BQBR.2","(Characteristics of Bureaucracy) average score for knowledge and skills",4.7,"On Target",2019,"cty","JOR"
"SE.PRM.BQBR.3","(Characteristics of Bureaucracy) average score for work environment",4.1,"On Target",2019,"cty","JOR"
"SE.PRM.BQBR.4","(Characteristics of Bureaucracy) average score for merit",3.5,"Caution",2019,"cty","JOR"
"SE.PRM.BQBR.5","(Characteristics of Bureaucracy) average score for motivation and attitudes",3.3,"Caution",2019,"cty","JOR"
"SE.PRM.CONT","Teacher Content Knowledge",33.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.1","(De Facto) Percent of teachers proficient in the subjects they teach",33.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.1.F","(De Facto) Percent of teachers proficient in the subjects they teach - Female",34.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.1.M","(De Facto) Percent of teachers proficient in the subjects they teach - Male",32.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.1.R","(De Facto) Percent of teachers proficient in the subjects they teach - Rural",34.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.1.U","(De Facto) Percent of teachers proficient in the subjects they teach - Urban",33.5,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.2","(De Facto) Percent of teachers proficient in the subject of language",25,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.2.F","(De Facto) Percent of teachers proficient in the subject of language - Female",26.2,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.2.M","(De Facto) Percent of teachers proficient in the subject of language - Male",16.2,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.2.R","(De Facto) Percent of teachers proficient in the subject of language - Rural",25.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.2.U","(De Facto) Percent of teachers proficient in the subject of language - Urban",24.8,"Needs Improvement",2019,"cty","JOR"
