"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.GEPD.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",NA,"N/A",2020,"cty","RWA"
"SE.GEPD.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",NA,"N/A",2020,"cty","RWA"
"SE.GEPD.PRIM.BMP","Proficiency by End of Primary",NA,"N/A",2020,"cty","RWA"
"SE.GEPD.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS",NA,"N/A",2020,"cty","RWA"
"SE.PRM.ATTD","Student Attendance",87.1,"Caution",2020,"cty","RWA"
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit",87.1,"Caution",2020,"cty","RWA"
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female",84.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male",82.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural",86.2,"Caution",2020,"cty","RWA"
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban",92.7,"On Target",2020,"cty","RWA"
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing",2.4,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.",2.4,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest",3.2,"Caution",2020,"cty","RWA"
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest",4.2,"On Target",2020,"cty","RWA"
"SE.PRM.BFIN.5","(Financing) - Equity",NA,"N/A",2020,"cty","RWA"
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making",3.7,"Caution",2020,"cty","RWA"
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.7,"Caution",2020,"cty","RWA"
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management",3.8,"Caution",2020,"cty","RWA"
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making",3.8,"Caution",2020,"cty","RWA"
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation",3.1,"Caution",2020,"cty","RWA"
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators",4.7,"On Target",2020,"cty","RWA"
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability",4.5,"On Target",2020,"cty","RWA"
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.5,"On Target",2020,"cty","RWA"
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence",4.1,"On Target",2020,"cty","RWA"
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency",4.5,"On Target",2020,"cty","RWA"
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials",4.8,"On Target",2020,"cty","RWA"
"SE.PRM.BNLG","Politics & Bureaucratic Capacity - National Learning Goals",4.2,"On Target",2020,"cty","RWA"
"SE.PRM.BNLG.1","Average score for National Learning Goals; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.2,"On Target",2020,"cty","RWA"
"SE.PRM.BNLG.2","(National Learning Goals) Average score for targeting",4.8,"On Target",2020,"cty","RWA"
"SE.PRM.BNLG.3","(National Learning Goals) Average score for monitoring",4.3,"On Target",2020,"cty","RWA"
"SE.PRM.BNLG.4","(National Learning Goals) Average score for incentives",3.8,"Caution",2020,"cty","RWA"
"SE.PRM.BNLG.5","(National Learning Goals) Average score for community engagement",4,"Caution",2020,"cty","RWA"
"SE.PRM.BQBR","Politics & Bureaucratic Capacity - Characteristics of Bureaucracy",4.4,"On Target",2020,"cty","RWA"
"SE.PRM.BQBR.1","Average score for Characteristics of Bureaucracy; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.4,"On Target",2020,"cty","RWA"
"SE.PRM.BQBR.2","(Characteristics of Bureaucracy) average score for knowledge and skills",4.9,"On Target",2020,"cty","RWA"
"SE.PRM.BQBR.3","(Characteristics of Bureaucracy) average score for work environment",4.3,"On Target",2020,"cty","RWA"
